instance,mip,time,val
310_116_4_0,BinP,7.44,0.00
310_116_4_0,3Idx,84.30,0.00
200_75_4_3,BinP,0.18,0.00
200_75_4_3,3Idx,14.58,0.00
180_67_4_2,BinP,1.01,0.00
180_67_4_2,3Idx,12.93,0.00
280_105_4_8,BinP,5.46,0.00
280_105_4_8,3Idx,51.51,0.00
280_105_4_5,BinP,2.05,0.00
280_105_4_5,3Idx,56.87,0.00
200_75_4_0,BinP,1.48,0.00
200_75_4_0,3Idx,14.07,0.00
200_75_4_8,BinP,0.40,0.00
200_75_4_8,3Idx,15.93,0.00
220_82_4_0,BinP,0.80,0.00
220_82_4_0,3Idx,22.88,0.00
160_60_4_3,BinP,0.97,0.00
160_60_4_3,3Idx,8.70,0.00
310_116_4_4,BinP,8.80,0.00
310_116_4_4,3Idx,93.78,0.00
170_63_4_3,BinP,0.45,0.00
170_63_4_3,3Idx,7.18,0.00
210_78_4_3,BinP,1.44,0.00
210_78_4_3,3Idx,29.32,0.00
210_78_4_6,BinP,0.65,0.00
210_78_4_6,3Idx,20.32,0.00
180_67_4_3,BinP,0.64,0.00
180_67_4_3,3Idx,10.73,0.00
270_101_4_7,BinP,3.05,0.00
270_101_4_7,3Idx,47.36,0.00
150_56_4_3,BinP,0.31,2.00
150_56_4_3,3Idx,5.49,2.00
330_123_4_4,BinP,9.31,0.00
330_123_4_4,3Idx,112.05,0.00
290_108_4_3,BinP,3.53,0.00
290_108_4_3,3Idx,51.93,0.00
210_78_4_1,BinP,0.68,1.00
210_78_4_1,3Idx,20.01,1.00
330_123_4_1,BinP,7.62,0.00
330_123_4_1,3Idx,89.91,0.00
220_82_4_5,BinP,0.57,0.00
220_82_4_5,3Idx,23.91,0.00
220_82_4_3,BinP,1.06,0.00
220_82_4_3,3Idx,20.24,0.00
280_105_4_6,BinP,1.87,0.00
280_105_4_6,3Idx,55.78,0.00
200_75_4_2,BinP,1.84,1.00
200_75_4_2,3Idx,14.88,1.00
180_67_4_6,BinP,1.92,0.00
180_67_4_6,3Idx,11.30,0.00
270_101_4_9,BinP,2.35,0.00
270_101_4_9,3Idx,40.71,0.00
300_112_4_5,BinP,13.83,0.00
300_112_4_5,3Idx,73.29,0.00
320_120_4_3,BinP,14.67,0.00
320_120_4_3,3Idx,88.40,0.00
200_75_4_5,BinP,0.20,0.00
200_75_4_5,3Idx,15.45,0.00
310_116_4_6,BinP,3.39,0.00
310_116_4_6,3Idx,76.64,0.00
270_101_4_2,BinP,2.29,0.00
270_101_4_2,3Idx,46.01,0.00
170_63_4_0,BinP,0.41,0.00
170_63_4_0,3Idx,7.12,0.00
230_86_4_7,BinP,0.58,0.00
230_86_4_7,3Idx,24.83,0.00
260_97_4_5,BinP,1.85,0.00
260_97_4_5,3Idx,48.84,0.00
250_93_4_2,BinP,2.31,0.00
250_93_4_2,3Idx,36.67,0.00
150_56_4_8,BinP,1.51,1.00
150_56_4_8,3Idx,4.99,1.00
310_116_4_8,BinP,12.17,0.00
310_116_4_8,3Idx,91.55,0.00
170_63_4_1,BinP,0.61,0.00
170_63_4_1,3Idx,8.53,0.00
270_101_4_4,BinP,4.67,0.00
270_101_4_4,3Idx,48.37,0.00
250_93_4_0,BinP,2.35,0.00
250_93_4_0,3Idx,31.21,0.00
320_120_4_4,BinP,6.38,0.00
320_120_4_4,3Idx,94.24,0.00
290_108_4_4,BinP,16.07,0.00
290_108_4_4,3Idx,70.85,0.00
300_112_4_4,BinP,1.31,0.00
300_112_4_4,3Idx,76.15,0.00
290_108_4_0,BinP,2.06,0.00
290_108_4_0,3Idx,67.11,0.00
190_71_4_4,BinP,0.98,0.00
190_71_4_4,3Idx,14.48,0.00
180_67_4_1,BinP,0.43,0.00
180_67_4_1,3Idx,8.79,0.00
330_123_4_3,BinP,13.05,0.00
330_123_4_3,3Idx,112.16,0.00
200_75_4_9,BinP,1.25,0.00
200_75_4_9,3Idx,15.76,0.00
180_67_4_8,BinP,0.75,0.00
180_67_4_8,3Idx,9.48,0.00
160_60_4_7,BinP,2.87,0.00
160_60_4_7,3Idx,12.15,0.00
230_86_4_2,BinP,1.07,0.00
230_86_4_2,3Idx,24.34,0.00
170_63_4_5,BinP,2.32,0.00
170_63_4_5,3Idx,7.22,0.00
160_60_4_4,BinP,0.34,0.00
160_60_4_4,3Idx,7.99,0.00
320_120_4_8,BinP,3.82,0.00
320_120_4_8,3Idx,86.15,0.00
220_82_4_1,BinP,0.69,0.00
220_82_4_1,3Idx,23.97,0.00
160_60_4_9,BinP,1.99,0.00
160_60_4_9,3Idx,7.49,0.00
190_71_4_6,BinP,0.34,0.00
190_71_4_6,3Idx,13.43,0.00
340_127_4_2,BinP,36.50,0.00
340_127_4_2,3Idx,152.11,0.00
250_93_4_3,BinP,1.30,0.00
250_93_4_3,3Idx,37.61,0.00
310_116_4_2,BinP,13.93,0.00
310_116_4_2,3Idx,81.54,0.00
260_97_4_4,BinP,1.16,0.00
260_97_4_4,3Idx,40.38,0.00
270_101_4_3,BinP,0.87,0.00
