instance,solver,time,val
300_120_3_19,TS,61.36,78780.78
300_120_3_00,TS,110.70,78761.34
300_120_3_01,TS,54.59,78757.8
300_120_3_02,TS,57.26,78791.72
300_120_3_03,TS,58.05,78761.42
300_120_3_04,TS,55.96,78767.4
300_120_3_05,TS,139.05,78788.02
300_120_3_06,TS,56.31,78749.22
300_120_3_07,TS,98.10,78751.66
300_120_3_08,TS,88.85,78775.9
300_120_3_09,TS,55.01,78800.14
300_120_3_10,TS,55.42,78777.08
300_120_3_11,TS,94.12,78766.22
300_120_3_12,TS,55.49,78784.4
300_120_3_13,TS,57.21,78775.9
300_120_3_14,TS,79.08,78767.48
300_120_3_15,TS,55.69,78790.38
300_120_3_16,TS,57.30,78802.58
300_120_3_17,TS,56.25,78775.9
300_120_3_18,TS,130.53,78746.78
300_120_3_19,TS,57.86,78780.78
