instance,solver,time,val
300_120_3_64,BinP,300.28,25.00
300_120_3_64,3Idx,301.73,823.00
300_120_3_74,BinP,83.48,0.00
300_120_3_74,3Idx,300.31,55.00
300_120_3_74,3CapPerm,8.29,1353.00
300_120_3_74,3CapRec,0.11,1302.00
300_120_3_37,BinP,193.39,0.00
300_120_3_37,3Idx,300.84,295.00
300_120_3_0,BinP,300.37,28.00
300_120_3_0,3Idx,300.43,698.00
300_120_3_0,3CapRec,0.11,1360.00
300_120_3_93,BinP,32.95,0.00
300_120_3_93,3Idx,53.46,0.00
300_120_3_93,3CapPerm,0.95,1364.00
300_120_3_93,3CapRec,0.09,1389.00
300_120_3_12,BinP,87.38,0.00
300_120_3_12,3Idx,300.65,68.00
300_120_3_12,3CapPerm,7.91,1454.00
300_120_3_12,3CapRec,0.09,1417.00
300_120_3_3,BinP,300.47,243.00
300_120_3_3,3Idx,300.50,1008.00
300_120_3_13,BinP,47.62,0.00
300_120_3_13,3Idx,154.86,0.00
300_120_3_13,3CapPerm,8.03,1339.00
300_120_3_13,3CapRec,0.10,1338.00
300_120_3_81,BinP,300.67,118.00
300_120_3_81,3Idx,300.91,227.00
300_120_3_81,3CapRec,0.08,1287.00
300_120_3_17,BinP,146.55,0.00
300_120_3_17,3Idx,102.73,0.00
300_120_3_17,3CapRec,0.09,1308.00
300_120_3_34,BinP,76.49,0.00
300_120_3_34,3Idx,300.98,250.00
300_120_3_34,3CapPerm,8.92,1370.00
300_120_3_34,3CapRec,0.16,1328.00
300_120_3_83,BinP,300.76,99.00
300_120_3_83,3Idx,300.19,613.00
300_120_3_83,3CapRec,0.07,1394.00
300_120_3_2,BinP,26.57,0.00
300_120_3_2,3Idx,64.60,0.00
300_120_3_2,3CapPerm,0.98,1272.00
300_120_3_2,3CapRec,0.11,1326.00
300_120_3_11,BinP,58.46,0.00
300_120_3_11,3Idx,150.24,0.00
300_120_3_11,3CapPerm,8.76,1339.00
300_120_3_11,3CapRec,0.08,1346.00
300_120_3_8,BinP,81.00,0.00
300_120_3_8,3Idx,300.52,641.00
300_120_3_8,3CapPerm,0.95,1360.00
300_120_3_8,3CapRec,0.07,1407.00
300_120_3_94,BinP,69.86,0.00
300_120_3_94,3Idx,301.40,255.00
300_120_3_94,3CapRec,0.07,1330.00
300_120_3_73,BinP,52.06,0.00
300_120_3_73,3Idx,116.96,0.00
300_120_3_73,3CapPerm,0.97,1293.00
300_120_3_73,3CapRec,0.09,1404.00
300_120_3_57,BinP,93.99,0.00
300_120_3_57,3Idx,232.74,0.00
300_120_3_57,3CapPerm,8.18,1325.00
300_120_3_57,3CapRec,0.09,1304.00
300_120_3_15,BinP,79.95,0.00
300_120_3_15,3Idx,300.85,8.00
