instance,solver,time,val
300_120_3_00,LB,-,78740.72
300_120_3_00,3Idx,60.23,92128.84
300_120_3_00,3Cap,1.50,78797.7
300_120_3_01,LB,-,78755.36
300_120_3_01,TS,69.18,102538.5
300_120_3_01,3Idx,60.26,90910.78
300_120_3_01,3Cap,1.62,78757.8
300_120_3_02,LB,-,78751.66
300_120_3_02,3Idx,60.23,90178.7
300_120_3_02,3Cap,1.47,78791.72
300_120_3_03,LB,-,78750.48
300_120_3_03,3Idx,60.26,91033.16
300_120_3_03,3Cap,1.45,78761.42
300_120_3_04,LB,-,78740.72
300_120_3_04,3Idx,60.29,91067.16
300_120_3_04,3Cap,1.59,78767.4
300_120_3_05,LB,-,78767.4
300_120_3_05,3Idx,60.25,90098.82
300_120_3_05,3Cap,1.53,78826.82
300_120_3_06,LB,-,78728.6
300_120_3_06,3Idx,60.23,92127.58
300_120_3_06,3Cap,1.53,78749.22
300_120_3_07,LB,-,78743.16
300_120_3_07,TS,72.05,103262.16
300_120_3_07,3Idx,60.22,92528.72
300_120_3_07,3Cap,1.53,78761.34
300_120_3_08,LB,-,78751.66
300_120_3_08,3Idx,60.26,91044.02
300_120_3_08,3Cap,1.51,78788.02
300_120_3_09,LB,-,78763.78
300_120_3_09,3Idx,60.27,89731.44
300_120_3_09,3Cap,1.49,78800.14
300_120_3_10,LB,-,78734.66
300_120_3_10,TS,70.80,100446.62
300_120_3_10,3Idx,60.26,92344.56
300_120_3_10,3Cap,1.47,78777.08
300_120_3_11,LB,-,78735.92
300_120_3_11,TS,67.20,103241.46
300_120_3_11,3Idx,60.30,91418.64
300_120_3_11,3Cap,1.42,78778.34
300_120_3_12,LB,-,78754.02
300_120_3_12,3Idx,60.27,91316.8
300_120_3_12,3Cap,1.54,78784.4
300_120_3_13,LB,-,78729.78
300_120_3_13,3Idx,60.27,90485.4
300_120_3_13,3Cap,1.42,78775.9
300_120_3_14,LB,-,78740.8
300_120_3_14,TS,65.94,100390.9
300_120_3_14,3Idx,60.25,91821.04
300_120_3_14,3Cap,1.46,78779.6
300_120_3_15,LB,-,78738.28
300_120_3_15,3Idx,60.25,87432.34
300_120_3_15,3Cap,1.48,78790.38
300_120_3_16,LB,-,78746.78
300_120_3_16,TS,70.18,105311.46
300_120_3_16,3Idx,60.23,90704.58
300_120_3_16,3Cap,1.40,78802.58
300_120_3_17,LB,-,78735.84
300_120_3_17,3Idx,60.23,81158.98
300_120_3_17,3Cap,1.49,78775.9
300_120_3_18,LB,-,78734.66
300_120_3_18,TS,60.76,100590.72
300_120_3_18,3Idx,60.28,91039.14
300_120_3_18,3Cap,1.44,78761.34
300_120_3_19,LB,-,78748.04
300_120_3_19,TS,70.50,101721.66
300_120_3_19,3Idx,60.26,92910.5
300_120_3_19,3Cap,1.48,78792.9
