instance,solver,time,val
500_200_3_27,BinP,317,2496
500_200_3_27,3Idx,303,2311
500_200_3_27,3CapPerm,15,2483
500_200_3_27,3CapRec,0,2417
500_200_3_4,BinP,301,804
500_200_3_4,3Idx,302,2316
500_200_3_4,3CapPerm,17,2501
500_200_3_4,3CapRec,0,2513
500_200_3_22,BinP,300,2619
500_200_3_22,3Idx,303,2314
500_200_3_49,BinP,295,500
500_200_3_49,3Idx,308,2450
500_200_3_49,3CapPerm,12,2507
500_200_3_49,3CapRec,0,2548
500_200_3_37,BinP,296,500
500_200_3_37,3Idx,305,2498
500_200_3_37,3CapPerm,16,2505
500_200_3_37,3CapRec,0,2561
500_200_3_13,BinP,301,1032
500_200_3_13,3Idx,305,2364
500_200_3_13,3CapPerm,13,2496
500_200_3_13,3CapRec,0,2521
500_200_3_18,BinP,300,2433
500_200_3_18,3Idx,305,2273
500_200_3_18,3CapPerm,18,2545
500_200_3_18,3CapRec,0,2564
